name,price
"LAPTOP / TOSHIBA / INTEL 925 / 4GB RAM / STORAGE OPTIONS / FREE BAG/POUCH, WEBCAM, MOUSE, EXTENDED MOUSEPAD / READY TO USE / WIFI READY / CHARGER INCLUDED / USED","₱5,380.00"
"【SALE CHEAPEST LAPTOP】HP ELITEBOOK 840 G5 NOTEBOOK LAPTOP | Intel Core i5-8350u 1.70Ghz, 16GB DDR4, 256GB SSD, Intel UHD Graphics 620 On Board, 14"" Inch FHD IPS LED Display | We also have Desktop, pc set, computer set, cheapest laptop, CPU | LAPTOP PH","₱24,943.00"
[Brand New]ThinkPad X260 laptop Intel Quad/Dual-Core i7/i5-6600u/6300u 8G/16G DDR4 RAM 256G/512G/1T SSD ROM Built In Camera/WEBCAM Ms office 365 windows 11 PRO  Ultra-thin 12.5 inch Screen Online class/learning WIFI Bluetooth Business notebook computer,"₱19,380.00"
"【New Arrival 2022】DERE VBook V10 Laptop 360°Flip-and-fold Touch Screen 11.6 inch Screen laptop cheap price laptop brand new original loptop sale lowest price for student Windows 11 (8+256|12+512,Silver)","₱13,999.00"
cod【FREE GIFTS+one year warranty】intel corei5/15.6in/laptop for sale brand new/Fourth generation core i5 processor /Built in numeric keyboard,"₱20,540.00"
[Brand New]ThinkPad X240 Laptop Intel Quad/Dual-Core i7/i5 8GB RAM 128G SSD+500GB/1T HDD ROM Built-in WEBCAM/Camera Online class/learning Wifi Bluetooth Ms office 365 Windows11 Pro Portable Business Notebook Computer Ultra-thin 12.5 inch Screen,"₱18,000.00"
Brand New ThinkPad T440s Laptop Intel Dual/Quad-Core i5/i7 8G/12G RAM 128G SSD+500GB/1T HDD ROM 14-inch Screen Built-in WEBCAM/Camera Ms office Windows 11 Pro Operating system WiFi Bluetooth Portable business notebook computer,"₱26,080.00"
[REFURBISHED]DELL Laptop E6540 i3 I5 I7  4th E6520 I3 I5 I7 2 th Gen 4G 8G 16G DDR3 1600MHZ Memory 120g 240g 480g SSD for Online learning Office Work Popular Games,"₱14,959.00"
[Brand New]Lenovo ThinkPad X260 laptop Intel Quad/Dual-Core i7/i5-6600u/6300u 8G/16G DDR4 RAM 256G/512G SSD ROM Built In Camera/WEBCAM Ms office windows 10 PRO Ultra-thin 12.5 inch Screen Online class/learning WIFI Bluetooth Business notebook computer,"₱18,880.00"
【 LENNOVO Factory notebook】2022 new High-performance thin and light notebook RAM DDR4 6GB 14'' Laptop 11th intel Celeron J4105 SSD 256GB Ultrabook Metal Computer with 2.4G/5.0G Bluetooth windows 10 Pro gaming laptop Provide bulacan local warranty,"₱14,849.01"
REFURBISHED COD!!! HP Chromebook 11 G3 and HP Chromebook 11 G5 EE,"₱5,998.00"
CorelDRAW GraphicsSuite 2021 [ DVD PC Installer ],₱99.00
Dell Laptop PC E6430 / E6530/ E6420 intel core i3/ i5 / i7 480G SSD 14.1/15.6 inch hd lightweight portable students office business gaming notebook laptop,"₱23,600.00"
"HP Laptop [Brand New] Elitebook 840 G1 [1 year Warranty] Intel Dual/Quad-Core i5/i7 8G/12G/16G RAM 128G SSD+500GB/1T HDD 14"" Inches Screen Built In Camera/Webcam Business Work Windows11 Pro Ms office 365 Online Learning Computer WiFi/Bluetooth/Notebook","₱23,880.00"
HUAWEI MateBook 14 Laptop | AMD Ryzen™ 5 4600H | 8GB+512GB / 16GB+512GB | 2K FullView Display,"₱48,999.00"
【laptop for sale brand new】 original Laptop 8G RAM 512GB 256GB 128GB SSD ROM notebook laptop mini new 2021computer loptop sale lowest price for student,"₱13,299.00"
COD!!! Dell Chromebook 11 3120 P22T Refurbished,"₱5,999.00"
